Ganimet	EXP	Kat	Seviye
1.497.336	2.744	4	2058
1.496.462	2.743	4	2055
1.494.421	2.740	4	2048
1.493.837	2.740	4	2046
1.492.376	2.738	4	2041
1.490.327	2.735	4	2034
1.488.860	2.733	4	2029
1.486.803	2.731	4	2022
1.485.921	2.730	4	2019
1.483.563	2.727	4	2011
1.482.677	2.726	4	2008
1.481.199	2.724	4	2003
1.479.126	2.721	4	1996
1.477.940	2.720	4	1992
1.477.643	2.720	4	1991
1.475.265	2.717	4	1983
1.473.478	2.714	4	1977
1.471.389	2.712	4	1970
1.470.792	2.711	4	1968
1.470.493	2.711	4	1967
1.468.097	2.708	4	1959
1.466.297	2.705	4	1953
1.464.193	2.703	4	1946
1.463.591	2.702	4	1944
1.461.178	2.699	4	1936
1.458.760	2.696	4	1928
1.457.852	2.695	4	1925
1.457.246	2.694	4	1923
1.454.818	2.691	4	1915
1.452.384	2.688	4	1907
1.450.554	2.686	4	1901
1.449.638	2.685	4	1898
1.447.803	2.682	4	1892
1.446.272	2.680	4	1887
1.443.508	2.677	4	1878
1.442.893	2.676	4	1876
1.441.354	2.674	4	1871
1.439.812	2.672	4	1866
1.438.267	2.670	4	1861
1.437.958	2.670	4	1860
1.437.340	2.669	4	1858
1.435.481	2.667	4	1852
1.433.619	2.665	4	1846
1.430.508	2.661	4	1836
1.428.636	2.658	4	1830
1.425.195	2.654	4	1819
1.424.568	2.653	4	1817
1.423.626	2.652	4	1814
1.420.797	2.648	4	1805
1.418.590	2.646	4	1798
1.416.695	2.643	4	1792
1.414.162	2.640	4	1784
1.412.257	2.638	4	1778
1.411.622	2.637	4	1776
1.410.985	2.636	4	1774
1.409.075	2.634	4	1768
1.408.118	2.632	4	1765
1.407.799	2.632	4	1764
1.406.521	2.630	4	1760
1.403.960	2.627	4	1752
1.402.677	2.626	4	1748
1.400.749	2.623	4	1742
1.398.817	2.621	4	1736
1.395.912	2.617	4	1727
1.392.998	2.613	4	1718
1.392.673	2.613	4	1717
1.389.749	2.609	4	1708
1.387.141	2.606	4	1700
1.386.161	2.605	4	1697
1.385.508	2.604	4	1695
1.383.544	2.601	4	1689
1.383.216	2.601	4	1688
1.381.247	2.598	4	1682
1.378.286	2.595	4	1673
1.377.957	2.594	4	1672
1.374.654	2.590	4	1662
1.373.992	2.589	4	1660
1.372.667	2.588	4	1656
1.370.676	2.585	4	1650
1.369.345	2.583	4	1646
1.366.679	2.580	4	1638
1.363.671	2.576	4	1629
1.363.001	2.575	4	1627
1.359.980	2.571	4	1618
1.357.960	2.569	4	1612
1.356.611	2.567	4	1608
1.355.261	2.565	4	1604
1.354.246	2.564	4	1601
1.351.196	2.560	4	1592
1.349.837	2.558	4	1588
1.346.772	2.554	4	1579
1.346.772	2.554	4	1579
1.343.353	2.550	4	1569
1.341.982	2.548	4	1565
1.339.234	2.545	4	1557
1.336.823	2.542	4	1550
1.333.712	2.538	4	1541
1.330.938	2.534	4	1533
1.330.244	2.533	4	1531
1.327.807	2.530	4	1524
1.325.015	2.527	4	1516
1.321.863	2.522	4	1507
1.318.699	2.518	4	1498
1.317.995	2.517	4	1496
1.313.756	2.512	4	1484
1.311.273	2.509	4	1477
1.308.784	2.506	4	1470
1.305.573	2.501	4	1461
1.304.858	2.501	4	1459
1.302.709	2.498	4	1453
1.300.914	2.495	4	1448
1.298.394	2.492	4	1441
1.295.868	2.489	4	1434
1.293.696	2.486	4	1428
1.289.701	2.481	4	1417
1.288.972	2.480	4	1415
1.285.687	2.476	4	1406
1.283.856	2.473	4	1401
1.280.551	2.469	4	1392
1.278.709	2.467	4	1387
1.276.123	2.463	4	1380
1.273.901	2.460	4	1374
1.270.185	2.455	4	1364
1.268.693	2.454	4	1360
1.267.947	2.453	4	1358
1.267.199	2.452	4	1356
1.261.574	2.444	4	1341
1.258.935	2.441	4	1334
1.254.773	2.435	4	1323
1.250.970	2.430	4	1313
1.248.298	2.427	4	1306
1.245.618	2.423	4	1299
1.243.698	2.421	4	1294
1.241.773	2.418	4	1289
1.237.911	2.413	4	1279
1.232.862	2.407	4	1266
1.228.566	2.401	4	1255
1.224.247	2.395	4	1244
1.222.671	2.393	4	1240
1.216.336	2.385	4	1224
1.214.346	2.382	4	1219
1.210.352	2.377	4	1209
1.203.919	2.368	4	1193
1.199.060	2.362	4	1181
1.197.027	2.359	4	1176
1.192.945	2.354	4	1166
1.192.126	2.353	4	1164
