Ganimet	EXP	Kat	Seviye
1.215.777	2.558	1	1969
1.215.530	2.558	1	1968
1.215.036	2.557	1	1966
1.213.056	2.554	1	1958
1.211.816	2.552	1	1953
1.209.828	2.549	1	1945
1.209.330	2.549	1	1943
1.207.585	2.546	1	1936
1.205.587	2.543	1	1928
1.204.586	2.542	1	1924
1.204.335	2.542	1	1923
1.202.077	2.538	1	1914
1.200.317	2.536	1	1907
1.198.805	2.534	1	1901
1.197.795	2.532	1	1897
1.196.532	2.530	1	1892
1.195.266	2.529	1	1887
1.192.728	2.525	1	1877
1.192.219	2.524	1	1875
1.190.947	2.522	1	1870
1.189.927	2.521	1	1866
1.188.651	2.519	1	1861
1.188.140	2.518	1	1859
1.187.628	2.518	1	1857
1.186.092	2.516	1	1851
1.184.809	2.514	1	1846
1.182.238	2.510	1	1836
1.180.691	2.508	1	1830
1.177.588	2.503	1	1818
1.177.069	2.503	1	1816
1.176.291	2.501	1	1813
1.173.952	2.498	1	1804
1.172.128	2.495	1	1797
1.170.822	2.494	1	1792
1.168.466	2.490	1	1783
1.166.892	2.488	1	1777
1.166.366	2.487	1	1775
1.165.841	2.486	1	1773
1.164.524	2.485	1	1768
1.163.734	2.483	1	1765
1.163.206	2.483	1	1763
1.162.150	2.481	1	1759
1.160.032	2.478	1	1751
1.158.972	2.477	1	1747
1.155.781	2.472	1	1735
1.153.646	2.469	1	1727
1.151.238	2.465	1	1718
1.150.701	2.465	1	1716
1.148.552	2.461	1	1708
1.146.398	2.458	1	1700
1.145.318	2.457	1	1696
1.145.048	2.456	1	1695
1.142.883	2.453	1	1687
1.141.255	2.451	1	1681
1.139.080	2.448	1	1673
1.138.535	2.447	1	1671
1.136.078	2.443	1	1662
1.135.531	2.443	1	1660
1.134.161	2.441	1	1655
1.132.790	2.439	1	1650
1.131.690	2.437	1	1646
1.129.211	2.433	1	1637
1.126.724	2.430	1	1628
1.126.447	2.429	1	1627
1.123.672	2.425	1	1617
1.122.281	2.423	1	1612
1.121.166	2.422	1	1608
1.120.050	2.420	1	1604
1.118.932	2.418	1	1600
1.116.691	2.415	1	1592
1.115.568	2.414	1	1588
1.113.034	2.410	1	1579
1.112.752	2.409	1	1578
1.109.926	2.405	1	1568
1.109.076	2.404	1	1565
1.106.521	2.400	1	1556
1.104.527	2.397	1	1549
1.102.241	2.394	1	1541
1.099.662	2.390	1	1532
1.099.087	2.389	1	1530
1.097.361	2.387	1	1524
1.094.765	2.383	1	1515
1.092.158	2.379	1	1506
1.089.543	2.375	1	1497
1.088.961	2.375	1	1495
1.085.748	2.370	1	1484
1.083.403	2.366	1	1476
1.081.640	2.364	1	1470
1.078.690	2.359	1	1460
1.078.395	2.359	1	1459
1.076.322	2.356	1	1452
1.074.838	2.354	1	1447
1.073.053	2.351	1	1441
1.070.965	2.348	1	1434
1.068.871	2.345	1	1427
1.065.868	2.340	1	1417
1.064.965	2.339	1	1414
1.062.249	2.335	1	1405
1.061.038	2.333	1	1401
1.058.002	2.329	1	1391
1.056.784	2.327	1	1387
1.052.504	2.321	1	1373
1.049.431	2.316	1	1363
1.048.198	2.314	1	1359
1.047.890	2.314	1	1358
1.046.963	2.312	1	1355
1.040.130	2.302	1	1333
1.033.545	2.292	1	1312
1.031.335	2.289	1	1305
1.029.119	2.286	1	1298
1.027.531	2.283	1	1293
1.026.259	2.281	1	1289
1.022.746	2.276	1	1278
1.018.572	2.270	1	1265
1.015.020	2.264	1	1254
1.011.775	2.260	1	1244
1.010.146	2.257	1	1239
1.004.908	2.249	1	1223
1.003.592	2.247	1	1219
999.960	2.242	1	1208
994.641	2.234	1	1192
990.959	2.228	1	1181
989.279	2.225	1	1176
984.890	2.219	1	1163
