Ganimet	EXP	Kat	Seviye
1.321.255	2.637	2	2047
1.320.997	2.636	2	2046
1.319.704	2.634	2	2041
1.317.892	2.632	2	2034
1.316.595	2.630	2	2029
1.314.516	2.627	2	2021
1.313.736	2.626	2	2018
1.311.911	2.624	2	2011
1.310.866	2.623	2	2007
1.309.821	2.621	2	2003
1.307.988	2.619	2	1996
1.306.939	2.617	2	1992
1.306.676	2.617	2	1991
1.304.574	2.614	2	1983
1.302.993	2.612	2	1977
1.300.882	2.609	2	1969
1.300.617	2.609	2	1968
1.300.353	2.608	2	1967
1.297.970	2.605	2	1958
1.296.643	2.603	2	1953
1.294.516	2.600	2	1945
1.294.249	2.600	2	1944
1.292.116	2.597	2	1936
1.289.978	2.594	2	1928
1.288.907	2.593	2	1924
1.288.639	2.592	2	1923
1.286.223	2.589	2	1914
1.284.339	2.587	2	1907
1.282.721	2.584	2	1901
1.281.911	2.583	2	1898
1.280.289	2.581	2	1892
1.278.934	2.579	2	1887
1.276.219	2.576	2	1877
1.275.947	2.575	2	1876
1.274.313	2.573	2	1870
1.273.222	2.571	2	1866
1.271.856	2.570	2	1861
1.271.309	2.569	2	1859
1.270.762	2.568	2	1857
1.269.392	2.566	2	1852
1.267.746	2.564	2	1846
1.264.994	2.560	2	1836
1.263.339	2.558	2	1830
1.260.296	2.554	2	1819
1.259.742	2.553	2	1817
1.258.631	2.552	2	1813
1.256.129	2.548	2	1804
1.254.177	2.545	2	1797
1.252.780	2.543	2	1792
1.250.259	2.540	2	1783
1.248.574	2.538	2	1777
1.248.012	2.537	2	1775
1.247.449	2.536	2	1773
1.246.041	2.534	2	1768
1.245.195	2.533	2	1765
1.244.630	2.532	2	1763
1.243.500	2.531	2	1759
1.241.235	2.528	2	1751
1.240.384	2.526	2	1748
1.238.394	2.524	2	1741
1.236.971	2.522	2	1736
1.234.401	2.518	2	1727
1.231.824	2.515	2	1718
1.231.250	2.514	2	1716
1.228.951	2.511	2	1708
1.226.645	2.508	2	1700
1.225.490	2.506	2	1696
1.225.201	2.506	2	1695
1.223.464	2.503	2	1689
1.222.885	2.502	2	1687
1.221.434	2.500	2	1682
1.218.815	2.497	2	1673
1.218.524	2.496	2	1672
1.215.603	2.492	2	1662
1.215.018	2.491	2	1660
1.213.846	2.490	2	1656
1.212.085	2.487	2	1650
1.210.909	2.486	2	1646
1.208.256	2.482	2	1637
1.205.891	2.479	2	1629
1.205.298	2.478	2	1627
1.202.627	2.474	2	1618
1.200.841	2.472	2	1612
1.199.648	2.470	2	1608
1.198.454	2.468	2	1604
1.197.257	2.467	2	1600
1.194.859	2.463	2	1592
1.193.657	2.462	2	1588
1.190.947	2.458	2	1579
1.190.645	2.458	2	1578
1.187.924	2.454	2	1569
1.186.712	2.452	2	1565
1.183.977	2.448	2	1556
1.182.149	2.446	2	1550
1.179.398	2.442	2	1541
1.176.638	2.438	2	1532
1.176.024	2.437	2	1530
1.174.177	2.435	2	1524
1.171.398	2.431	2	1515
1.168.920	2.427	2	1507
1.166.123	2.423	2	1498
1.165.500	2.422	2	1496
1.161.751	2.417	2	1484
1.159.242	2.414	2	1476
1.157.354	2.411	2	1470
1.154.515	2.407	2	1461
1.153.882	2.406	2	1459
1.151.665	2.403	2	1452
1.150.077	2.401	2	1447
1.148.167	2.398	2	1441
1.145.933	2.395	2	1434
1.143.692	2.392	2	1427
1.140.479	2.387	2	1417
1.139.835	2.386	2	1415
1.136.606	2.382	2	1405
1.135.311	2.380	2	1401
1.132.062	2.375	2	1391
1.130.759	2.373	2	1387
1.128.473	2.370	2	1380
1.126.180	2.367	2	1373
1.123.221	2.363	2	1364
1.121.902	2.361	2	1360
1.121.242	2.360	2	1358
1.120.581	2.359	2	1356
1.115.606	2.352	2	1341
1.112.939	2.348	2	1333
1.109.257	2.343	2	1322
1.106.230	2.339	2	1313
1.103.529	2.335	2	1305
1.101.157	2.331	2	1298
1.099.459	2.329	2	1293
1.098.097	2.327	2	1289
1.094.339	2.322	2	1278
1.089.872	2.315	2	1265
1.086.072	2.310	2	1254
1.082.599	2.305	2	1244
1.081.205	2.303	2	1240
1.075.603	2.295	2	1224
1.073.843	2.292	2	1219
1.070.311	2.287	2	1209
1.064.622	2.279	2	1193
1.060.326	2.273	2	1181
1.058.528	2.270	2	1176
1.054.556	2.264	2	1165
1.053.832	2.263	2	1163
