Ganimet	EXP	Kat	Seviye
2.522.277	3.264	20	1473
2.516.101	3.259	20	1464
2.510.593	3.254	20	1456
2.504.374	3.248	20	1447
2.500.215	3.245	20	1441
2.493.260	3.239	20	1431
2.485.576	3.232	20	1420
2.477.856	3.225	20	1409
2.475.040	3.223	20	1405
2.467.979	3.216	20	1395
2.461.597	3.211	20	1386
2.455.191	3.205	20	1377
2.448.043	3.199	20	1367
2.445.176	3.196	20	1363
2.439.425	3.191	20	1355
2.433.653	3.186	20	1347
2.426.410	3.180	20	1337
2.418.405	3.173	20	1326
2.411.094	3.166	20	1316
2.405.955	3.162	20	1309
2.400.801	3.157	20	1302
2.394.149	3.151	20	1293
2.385.981	3.144	20	1282
2.376.273	3.135	20	1269
2.368.012	3.128	20	1258
2.360.465	3.121	20	1248
2.357.436	3.118	20	1244
2.345.260	3.107	20	1228
2.341.436	3.104	20	1223
2.333.759	3.097	20	1213
2.320.621	3.085	20	1196
2.312.060	3.078	20	1185
2.308.152	3.074	20	1180
2.300.308	3.067	20	1170
